word,definition,part of speech,example
panache,distinctive and stylish elegance.,noun,"Jim, with his typical panache, came to the wedding reception with a top hat, a cane, and a long cape covered in sequins."
parochial,narrowly restricted in scope or outlook.,adjective,"Jasmine was sad to admit it, but her fledgling relationship with Jacob did not work out because his culinary tastes were simply too parochial; ""After all,"" she quipped on her blog, ""he considered Chef Boyardee ethnic food.""."
parsimonious,extremely frugal; miserly.,adjective,Katie is so parsimonious that she only buys a pair of socks if all of her other socks have holes in them.
pedantic,"marked by a narrow focus on or display of learning especially its trivial aspects Professor Thompson was regarded as an expert in his field, but his lectures were utterly pedantic, focused on rigorous details of the most trivial conventions in the field.",adjective,
pedestrian,lacking imagination.,adjective,"While Nan was always engaged in philosophical speculation, her brother was occupied with far more pedestrian concerns: how to earn a salary and run a household. This word has other definitions but this is the most important one for the GRE."
pejorative,expressing disapproval (usu.,adjective,"refers to a term). Most psychologists object to the pejorative term ""shrink"", believing that they expand the human mind, not limit it. This word has other definitions but this is the most important one for the GRE."
perfidy,an act of deliberate betrayal; a breach of a trust.,noun,"The lowest circles in Dante's Inferno were for those who had practiced perfidy, and among these, the very lowest was for those, such as Judas, who had been treacherous to one of their benefactors."
pernicious,exceedingly harmful; working or spreading in a hidden and injurious way The most successful viruses are pernicious: an infected person may feel perfectly healthy for several months while incubating and spreading the virus.,adjective,
petulant,easily irritated or annoyed.,adjective,"When Ed first met Ruth, he didn't realize she was so petulant, but now that they are three months into their relationship, Ed feels a day doesn't go by in which she isn't whining about some minor issue."
placate,cause to be more favorably inclined; gain the good will of.,verb,I was able to placate the angry mob of students by promising to bring cookies on Monday.
platitude,a trite or obvious remark.,noun,"The professor argued that many statements regarded as wise in previous times, such as the Golden Rule, are now regarded as mere platitudes."
poignant,emotionally touching.,adjective,"After the Montagues and Capulets discover the dead bodies of Romeo and Juliet, in the play's most poignant moment, the two griefstricken familes agree to end their feud once and for all. This word has other definitions but this is the most important one for the GRE."
polemic,a strong verbal or written attack on someone or something.,noun,"The professor launched into a polemic, claiming that Freudian theory was a pack of lies that absolutely destroyed European literary theory. This word has other definitions but this is the most important one for the GRE."
posit,assume as fact.,verb,"Initially, Einstein posited a repulsive force to balance Gravity, but then rejected that idea as a blunder."
pragmatic,guided by practical experience and observation rather than theory.,adjective,"Rather than make a philosophical appeal to the Congressmen, the Speaker decided to take a far more pragmatic approach, making small side-deals that would add votes to his bill."
precipitous,done with very great haste and without due deliberation.,adjective,"He was expecting a precipitous rise in the value of a ""hot"" tech stock, so he was disappointed when it only inched up a dollar or two each day."
